52
_a_00	1.0000e-001	1.3335e-001	150000
_a_01	1.3335e-001	1.7783e-001	150000
_a_02	1.7783e-001	2.3714e-001	150000
_a_03	2.3714e-001	3.1623e-001	153548
_a_04	3.1623e-001	4.2170e-001	192636
_a_05	4.2170e-001	5.6234e-001	226722
_a_06	5.6234e-001	7.4989e-001	249548
_a_07	7.4989e-001	1.0000e+000	256588
_a_08	1.0000e+000	1.1548e+000	125583
_a_09	1.1548e+000	1.3335e+000	121107
_a_10	1.3335e+000	1.5399e+000	114927
_a_11	1.5399e+000	1.7783e+000	107385
_a_12	1.7783e+000	2.0535e+000	98844
_a_13	2.0535e+000	2.3714e+000	89691
_a_14	2.3714e+000	2.7384e+000	80280
_a_15	2.7384e+000	3.1623e+000	70932
_a_16	3.1623e+000	3.6517e+000	61914
_a_17	3.6517e+000	4.2170e+000	53424
_a_18	4.2170e+000	4.8697e+000	45609
_a_19	4.8697e+000	5.6234e+000	38553
_a_20	5.6234e+000	6.4938e+000	32289
_a_21	6.4938e+000	7.4989e+000	26818
_a_22	7.4989e+000	8.6596e+000	22102
_a_23	8.6596e+000	1.0000e+001	18088
_a_24	1.0000e+001	1.1548e+001	14708
_a_25	1.1548e+001	1.3335e+001	11892
_a_26	1.3335e+001	1.5399e+001	9566
_a_27	1.5399e+001	1.7783e+001	7659
_a_28	1.7783e+001	2.0535e+001	6107
_a_29	2.0535e+001	2.3714e+001	4852
_a_30	2.3714e+001	2.7384e+001	3842
_a_31	2.7384e+001	3.1623e+001	3034
_a_32	3.1623e+001	3.6517e+001	2389
_a_33	3.6517e+001	4.2170e+001	1878
_a_34	4.2170e+001	4.8697e+001	1473
_a_35	4.8697e+001	5.6234e+001	1249
_a_36	5.6234e+001	6.4938e+001	1191
_a_37	6.4938e+001	7.4989e+001	1135
_a_38	7.4989e+001	8.6596e+001	1082
_a_39	8.6596e+001	1.0000e+002	1031
_a_40	1.0000e+002	1.3335e+002	957
_a_41	1.3335e+002	1.7783e+002	869
_a_42	1.7783e+002	2.3714e+002	790
_a_43	2.3714e+002	3.1623e+002	718
_a_44	3.1623e+002	4.2170e+002	652
_a_45	4.2170e+002	5.6234e+002	592
_a_46	5.6234e+002	7.4989e+002	538
_a_47	7.4989e+002	1.0000e+003	488
_a_48	1.0000e+003	1.3335e+003	444
_a_49	1.3335e+003	1.7783e+003	402
_a_50	1.7783e+003	2.3714e+003	366
_a_51	2.3714e+003	3.1623e+003	332
